player_display_name,position,team,opponent_team,stat,pp_line,player_id,player_name,season,week,completions,attempts,passing_yards,passing_tds,interceptions,sacks,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,target_share,wopr,fantasy_points,opponent_team,pp_delta,team_long,spread,over_under
Brock Purdy,QB,SF,CIN,passing_yards,253.5,00-0037834,B.Purdy,2023.0,8.0,22.0,31.0,365.0,1.0,2.0,2.0,6.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,,,18.3,CIN,111.5,49ers,-3.5,47.5
Brock Purdy,QB,SF,JAX,passing_yards,253.5,00-0037834,B.Purdy,2023.0,10.0,19.0,26.0,296.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,23.84,JAX,42.5,49ers,-3.5,47.5
Brock Purdy,QB,SF,TB,passing_yards,253.5,00-0037834,B.Purdy,2023.0,11.0,21.0,25.0,333.0,3.0,0.0,4.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,,,26.72,TB,79.5,49ers,-3.5,47.5
Brock Purdy,QB,SF,SEA,passing_yards,253.5,00-0037834,B.Purdy,2023.0,12.0,21.0,30.0,209.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,10.46,SEA,-44.5,49ers,-3.5,47.5
Brock Purdy,QB,SF,PHI,passing_yards,253.5,00-0037834,B.Purdy,2023.0,13.0,19.0,27.0,314.0,4.0,0.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,,,29.46,PHI,60.5,49ers,-3.5,47.5
Brock Purdy,QB,SF,SEA,passing_yards,253.5,00-0037834,B.Purdy,2023.0,14.0,19.0,27.0,368.0,2.0,1.0,3.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,21.42,SEA,114.5,49ers,-3.5,47.5
Brock Purdy,QB,SF,ARI,passing_yards,253.5,00-0037834,B.Purdy,2023.0,15.0,16.0,25.0,242.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,25.68,ARI,-11.5,49ers,-3.5,47.5
Brock Purdy,QB,SF,BAL,passing_yards,253.5,00-0037834,B.Purdy,2023.0,16.0,18.0,32.0,255.0,0.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.4,BAL,1.5,49ers,-3.5,47.5
Brock Purdy,QB,SF,WAS,passing_yards,253.5,00-0037834,B.Purdy,2023.0,17.0,22.0,28.0,230.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,17.6,WAS,-23.5,49ers,-3.5,47.5
Brock Purdy,QB,SF,GB,passing_yards,253.5,00-0037834,B.Purdy,2023.0,20.0,23.0,39.0,252.0,1.0,0.0,1.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,,,15.48,GB,-1.5,49ers,-3.5,47.5
Brock Purdy,QB,SF,DET,passing_yards,253.5,00-0037834,B.Purdy,2023.0,21.0,20.0,31.0,267.0,1.0,1.0,2.0,5.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,,,17.48,DET,13.5,49ers,-3.5,47.5
Brock Purdy,QB,SF,KC,passing_yards,253.5,00-0037834,B.Purdy,2023.0,22.0,23.0,38.0,255.0,1.0,0.0,1.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,15.4,KC,1.5,49ers,-3.5,47.5
Brock Purdy,QB,SF,NYJ,passing_yards,253.5,00-0037834,B.Purdy,2024.0,1.0,19.0,29.0,231.0,0.0,0.0,2.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,,,10.34,NYJ,-22.5,49ers,-3.5,47.5
Brock Purdy,QB,SF,MIN,passing_yards,253.5,00-0037834,B.Purdy,2024.0,2.0,28.0,36.0,319.0,1.0,1.0,6.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,13.96,MIN,65.5,49ers,-3.5,47.5
Brock Purdy,QB,SF,LA,passing_yards,253.5,00-0037834,B.Purdy,2024.0,3.0,22.0,30.0,292.0,3.0,0.0,1.0,10.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,,,25.78,LA,38.5,49ers,-3.5,47.5
Brock Purdy,QB,SF,NE,passing_yards,253.5,00-0037834,B.Purdy,2024.0,4.0,15.0,27.0,288.0,1.0,1.0,1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,,,14.62,NE,34.5,49ers,-3.5,47.5
Brock Purdy,QB,SF,ARI,passing_yards,253.5,00-0037834,B.Purdy,2024.0,5.0,19.0,35.0,244.0,1.0,2.0,2.0,4.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,,,13.06,ARI,-9.5,49ers,-3.5,47.5
Geno Smith,QB,SEA,BUF,passing_yards,254.5,00-0030565,G.Smith,2018.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.1,BUF,-254.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,CLE,passing_yards,254.5,00-0030565,G.Smith,2018.0,6.0,1.0,1.0,8.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.12,CLE,-246.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,ARI,passing_yards,254.5,00-0030565,G.Smith,2018.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.7,ARI,-254.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,DEN,passing_yards,254.5,00-0030565,G.Smith,2018.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-2.2,DEN,-254.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,NYJ,passing_yards,254.5,00-0030565,G.Smith,2020.0,14.0,4.0,5.0,33.0,0.0,0.0,1.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.12,NYJ,-221.5,Seahawks,3.5,47.5
Geno Smith,QB,SEA,LA,passing_yards,254.5,00-0030565,G.Smith,2021.0,5.0,10.0,17.0,131.0,1.0,1.0,0.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,,,9.54,LA,-123.5,Seahawks,3.5,47.5
