player,team,position,spread,over_under,market,ud_line,pp_line,ud_delta,pp_delta,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_first_downs,rushing_epa,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,racr,target_share,air_yards_share,wopr,fantasy_points,team_long
Brock Purdy,SF,QB,-3.5,47.5,passing_yards,253.5,264,-33.5,-44,2023,1,REG,PIT,19,29,220,2,0,3,54,13,6.527864,0,0.90909094,0.18573031,3,20,0,1,2.4940922,0,0,0,0,0,0,0,,,,,,16.8,49ers
Brock Purdy,SF,QB,-3.5,47.5,passing_yards,253.5,264,-47.5,-58,2023,2,REG,LA,17,25,206,0,0,1,93,11,3.2599137,0,0.91150445,0.14477922,3,5,1,2,2.6632426,0,0,0,0,0,0,0,,,,,,14.74,49ers
Brock Purdy,SF,QB,-3.5,47.5,passing_yards,253.5,264,56.5,46,2023,3,REG,NYG,25,37,310,2,0,2,202,13,16.462496,0,1.7032967,0.20561096,4,-1,0,1,-0.47189778,0,0,0,0,0,0,0,,,,,,20.3,49ers
Brock Purdy,SF,QB,-3.5,47.5,passing_yards,253.5,264,29.5,19,2023,4,REG,ARI,20,21,283,1,0,1,104,17,22.844091,0,1.5635359,0.5284702,2,0,1,1,1.592645,0,0,0,0,0,0,0,,,,,,21.32,49ers
Brock Purdy,SF,QB,-3.5,47.5,passing_yards,253.5,264,-1.5,-12,2023,5,REG,DAL,17,24,252,4,0,1,110,12,18.542002,0,1.1886792,0.30987635,0,0,0,0,,0,0,0,0,0,0,0,,,,,,26.08,49ers
Brock Purdy,SF,QB,-3.5,47.5,passing_yards,253.5,264,-128.5,-139,2023,6,REG,CLE,12,27,125,1,1,3,71,5,-10.562339,0,0.5,-0.05060129,3,7,0,1,0.8275885,0,0,0,0,0,0,0,,,,,,7.7,49ers
Brock Purdy,SF,QB,-3.5,47.5,passing_yards,253.5,264,18.5,8,2023,7,REG,MIN,21,30,272,1,2,1,127,12,8.15835,0,1.1333333,0.16427755,5,19,0,2,1.7437544,0,0,0,0,0,0,0,,,,,,12.78,49ers
Brock Purdy,SF,QB,-3.5,47.5,passing_yards,253.5,264,111.5,101,2023,8,REG,CIN,22,31,365,1,2,2,171,15,-2.8519344,0,1.3518518,0.14167957,6,57,0,2,4.4092,0,0,0,0,0,0,0,,,,,,18.3,49ers
Brock Purdy,SF,QB,-3.5,47.5,passing_yards,253.5,264,42.5,32,2023,10,REG,JAX,19,26,296,3,0,2,122,11,17.11725,0,1.6086956,0.2650176,0,0,0,0,,0,0,0,0,0,0,0,,,,,,23.84,49ers
Brock Purdy,SF,QB,-3.5,47.5,passing_yards,253.5,264,79.5,69,2023,11,REG,TB,21,25,333,3,0,4,180,14,15.87039,0,1.6567165,0.33167627,4,14,0,2,2.2190216,0,0,0,0,0,0,0,,,,,,26.72,49ers
Brock Purdy,SF,QB,-3.5,47.5,passing_yards,253.5,264,-44.5,-55,2023,12,REG,SEA,21,30,209,1,1,1,100,10,0.7482287,0,0.7798507,0.12398609,3,1,0,0,-3.3302412,0,0,0,0,0,0,0,,,,,,10.46,49ers
Brock Purdy,SF,QB,-3.5,47.5,passing_yards,253.5,264,60.5,50,2023,13,REG,PHI,19,27,314,4,0,2,212,12,22.329712,0,1.7740113,0.31768796,2,9,0,1,0.58521265,0,0,0,0,0,0,0,,,,,,29.46,49ers
Brock Purdy,SF,QB,-3.5,47.5,passing_yards,253.5,264,114.5,104,2023,14,REG,SEA,19,27,368,2,1,3,175,12,12.758139,0,1.3529412,0.2282091,2,7,0,0,-2.767758,0,0,0,0,0,0,0,,,,,,21.42,49ers
Brock Purdy,SF,QB,-3.5,47.5,passing_yards,253.5,264,-11.5,-22,2023,15,REG,ARI,16,25,242,4,0,0,90,11,18.168194,0,0.73333335,0.33012125,0,0,0,0,,0,0,0,0,0,0,0,,,,,,25.68,49ers
Brock Purdy,SF,QB,-3.5,47.5,passing_yards,253.5,264,1.5,-9,2023,16,REG,BAL,18,32,255,0,4,2,135,10,-18.069515,0,1.25,-0.023993436,1,2,0,1,0.25614905,0,0,0,0,0,0,0,,,,,,2.4,49ers
Brock Purdy,SF,QB,-3.5,47.5,passing_yards,253.5,264,-23.5,-34,2023,17,REG,WAS,22,28,230,2,0,0,88,14,12.450719,0,1.1675127,0.2795836,1,4,0,1,1.2064832,0,0,0,0,0,0,0,,,,,,17.6,49ers
Brock Purdy,SF,QB,-3.5,47.5,passing_yards,253.5,264,-1.5,-12,2023,20,POST,GB,23,39,252,1,0,1,116,12,7.1619296,0,0.8102894,0.07780028,6,14,0,2,-2.3668597,0,0,0,0,0,0,0,,,,,,15.48,49ers
